,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
117,Madagascar,44,2,0,0,0,7,0,0,0,2,3,2,0,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,2,6,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,5,2,0,0,0,1
118,Malawi,86,2,0,0,3,12,2,2,0,0,2,3,0,0,0,2,7,0,0,0,0,0,4,3,2,3,0,2,0,2,0,0,2,0,3,2,0,2,0,0,6,0,0,2,0,2,8,2,0,0,0,9,2,0,2,0,1
119,Malaysia,1137,3,0,13,7,266,17,12,2,2,42,38,2,8,2,42,5,4,11,3,10,0,17,21,13,13,5,12,0,4,14,3,44,2,180,18,2,17,21,14,22,0,2,11,0,11,110,0,0,3,2,25,40,2,11,0,14
120,Maldives,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
121,Mali,274,0,0,2,0,8,11,0,0,0,6,23,0,2,0,5,5,0,2,0,0,2,30,2,0,3,0,2,0,2,0,0,6,2,74,6,0,10,2,2,40,0,4,2,0,2,11,2,0,2,0,10,2,0,2,0,1
122,Malta,54,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,0,2,3,4,4,0,2,0,0,0,0,4,0,17,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,1
123,Marshall Islands,32,0,0,0,2,2,0,0,0,0,0,4,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,0,0,0,3,2,0,0,0,2
124,Mauritania,405,2,0,2,0,4,27,0,3,0,3,11,0,0,0,10,4,0,0,21,7,2,8,8,6,0,2,3,0,0,0,0,2,0,103,2,0,104,2,0,20,0,3,2,0,22,6,0,0,0,0,9,8,0,2,0,3
125,Mauritius,64,2,0,2,0,19,2,0,0,0,3,2,0,0,0,3,0,2,0,0,0,0,6,0,2,0,0,0,0,2,0,0,3,0,4,2,0,2,0,2,2,0,0,0,2,0,6,0,0,0,0,4,2,0,0,0,1
126,Mexico,94783,314,70,5765,510,37011,2048,129,133,13,2330,1717,2,89,621,5901,685,368,711,202,172,13,276,168,581,461,133,358,23,477,2035,36,505,1427,963,1237,22,379,626,1270,500,60,45,319,27,508,18862,166,2,927,7,373,2077,18,745,73,294
